ud.car_no,_c1,dd
云A5E29V,1,0.2
云A5G68H,5,1.0
云A5GU28,6,1.2000000000000002
云A5H3X9,2,0.4
云A5H89G,3,0.6000000000000001
云A5H8H1,2,0.4
云A5JC83,1,0.2
云A5JG08,2,0.4
云A5L27E,2,0.4
云A5LF25,1,0.2
云A5M0Z2,1,0.2
云A5M256,1,0.2
云A5N2Q2,3,0.6000000000000001
云A5R3S9,4,0.8
云A5T20F,3,0.6000000000000001
云A5UK35,7,1.4000000000000001
云A5VN82,1,0.2
云A5VU88,3,0.6000000000000001
云A5W9B1,2,0.4
云A5X9V6,4,0.8
云A5Y22F,1,0.2
云A5Y56S,1,0.2
云A5Y8B6,3,0.6000000000000001
云A5ZQ08,2,0.4
云A5ZS72,2,0.4
云A630NH,1,0.2
云A640LW,1,0.2
云A65D58,1,0.2
云A65D78,1,0.2
云A6733R,5,1.0
云A673SE,4,0.8
云A680ND,1,0.2
云A697SG,3,0.6000000000000001
云A6A00R,1,0.2
云A6A1H5,2,0.4
云A6A60L,1,0.2
云A6A97D,2,0.4
云A6AS82,2,0.4
云A6B19B,5,1.0
云A6B26U,1,0.2
云A6B3V5,2,0.4
云A6F7N7,1,0.2
云A6F80T,2,0.4
云A6GH32,1,0.2
云A6GQ62,2,0.4
云A6GY26,1,0.2
云A6JN37,1,0.2
云A6K9G0,1,0.2
云A6LX06,1,0.2
云A6M1M1,1,0.2
云A6M9K8,1,0.2
云A6NS58,1,0.2
云A6QZ69,1,0.2
云A6U9J5,1,0.2
云A6UJ68,2,0.4
云A6V0C9,1,0.2
云A6V7L7,1,0.2
云A6V9L0,1,0.2
云A6W06M,2,0.4
云A6WT10,4,0.8
云A6X2F1,1,0.2
云A6ZE05,1,0.2
云A70P30,1,0.2
云A717CP,1,0.2
云A7532K,3,0.6000000000000001
云A753VP,1,0.2
云A759VX,1,0.2
云A76V89,1,0.2
云A7737S,1,0.2
云A783JE,5,1.0
云A788GQ,2,0.4
云A788KW,2,0.4
云A78H37,5,1.0
云A78S28,2,0.4
云A792YV,3,0.6000000000000001
云A793DS,2,0.4
云A798EW,7,1.4000000000000001
云A7B22X,1,0.2
云A7CP35,1,0.2
云A7D3W1,3,0.6000000000000001
云A7D3Z3,2,0.4
云A7D8X1,1,0.2
云A7D9Z2,3,0.6000000000000001
云A7DD90,1,0.2
云A7DG02,1,0.2
云A7DJ95,1,0.2
云A7F86G,1,0.2
云A7F9M2,1,0.2
云A7G57Q,1,0.2
云A7G6T9,1,0.2
云A7KL80,1,0.2
云A7KQ83,1,0.2
云A7L7B2,1,0.2
云A7LF87,2,0.4
云A7LV25,1,0.2
云A7MX58,1,0.2
云A7NU17,1,0.2
云A7P9F0,1,0.2
云A7S8P0,1,0.2
云A7SB32,2,0.4
云A7T2P7,2,0.4
云A7V7C3,1,0.2
云A7X0D5,3,0.6000000000000001
云A7X9N3,1,0.2
云A7ZB76,1,0.2
云A7ZK50,1,0.2
云A800CQ,1,0.2
云A80H60,1,0.2
云A815FJ,1,0.2
云A81V91,1,0.2
云A822CJ,3,0.6000000000000001
云A8279T,6,1.2000000000000002
云A82G09,2,0.4
云A833AT,1,0.2
云A835FU,2,0.4
云A83Q82,2,0.4
云A83Z81,1,0.2
云A847AK,1,0.2
云A865FB,2,0.4
云A86M97,3,0.6000000000000001
云A872RJ,1,0.2
云A875TB,1,0.2
云A875UL,1,0.2
云A87X06,4,0.8
云A880ZL,2,0.4
云A88660,1,0.2
云A88G44,2,0.4
云A88V72,1,0.2
云A8C18B,1,0.2
云A8C35D,1,0.2
云A8D79Y,1,0.2
云A8D97N,1,0.2
云A8H7Q1,6,1.2000000000000002
云A8K2P3,1,0.2
云A8N0P3,1,0.2
云A8P8R6,1,0.2
云A8SG81,2,0.4
云A8VS69,3,0.6000000000000001
云A8WP73,1,0.2
云A8WT83,4,0.8
云A8X6E2,1,0.2
云A8Y0Y9,1,0.2
云A8Y3Q7,1,0.2
云A8Y4Q2,3,0.6000000000000001
云A8Y85L,1,0.2
云A8Y8K0,2,0.4
云A8Y8R0,1,0.2
云A8Z61L,2,0.4
云A8ZT27,1,0.2
云A905UB,2,0.4
云A92W94,3,0.6000000000000001
云A931GW,2,0.4
云A931XJ,1,0.2
云A953XC,1,0.2
云A954MW,3,0.6000000000000001
云A957XT,1,0.2
云A96M93,3,0.6000000000000001
云A96Y21,1,0.2
云A971LZ,2,0.4
云A979SZ,2,0.4
云A981GZ,2,0.4
云A981MU,1,0.2
云A9A50H,1,0.2
云A9A78K,1,0.2
云A9B6J8,1,0.2
云A9CU95,1,0.2
云A9D15X,1,0.2
云A9D9J1,1,0.2
云A9E67D,1,0.2
云A9ES30,4,0.8
云A9F29V,2,0.4
云A9GB55,1,0.2
云A9HD91,1,0.2
